,username,beername,user_rating,user_review
1467,Valdez_Mescalito,Dank Little Thing,4.3,"Year Round Limited Hazy IPA Series Release - 6 pack
12 oz. can dated 100823 (10/8/23) - 7.5% ABV / 40 IBU
Brewed and canned in Chico, CA or Mills River, NC
Poured into a Bell's branded nonic pint glass

Look - Pours a dense and fluffy white head that leaves lacing. Hazy, light orange appearance.
Smell - Getting aromas of peach, melon, pine dankness, tangerine, honey biscuit, floral notes, maybe some mint.
Taste - The taste follows the nose with the pine and mint flavors being the most prominent. Only a slight bitterness in the aftertaste.
Feel - Medium bodied with a semi-crisp mouthfeel and finishes dry.
Overall - This is definitely dank, and it's also very crushable despite the higher ABV."
1468,TheWaySheGoes,Dank Little Thing,4.21,"Not sure how to describe this one style wise. About as much orange and lemon as I've ever tasted with none of the bite, and smooth mouthfeel. Slight earthy undertones towards the end. Hard to believe this is mass produced because the flavor notes are completely unique. Almost like it Pinesol made a beer that didnt burn your eyes. I like it, nice change of pace."
1469,Vlad11,Dank Little Thing,4.2,"dank, sweet pollen, peach, tropical, grapefruit, juicy-bitter, hazy, very nice"
1470,TreyIsWilson,Wooden Alley,4.19,"A - Pours a hazy golden orange with a one finger sturdy white head. Nice cascading lacing.

S - Aroma is orange, lemon and dank hops.

T - The taste is orange, candied lemon, peach, grapefruit and a light bitter hop bite.

M - Medium body with medium carbonation. Creamy mouthfeel with a soft crisp finish,

O - Nice easy drinking NEIPA."
1471,tdm168,"Duvel 6,66%",4,"Bright yellow with a huge white head. The nose is spicy with hints of white pepper and clove. The flavor is similar. The spice is foremost with some fruity esters underneath. The mouthfeel is pretty light but despite the huge head when poured, very well carbonated. I like the original Duvel more, but this was very enjoyable."
1472,HoppyBastard,"Duvel 6,66%",4.33,"Poured from a 11.2 ounce bottle into a Shaker pint glass, ""best by"" date ""11-2023"".

APPEARANCE: pours a hazy golden color with larger bits of sediment suspended, a beautiful one-finger white head with excellent retention that slowly dissipated until a solid white cap remained until the end, highly carbonated, there was heavy lacing on the glass.

SMELL: sweet banana bread and some farmhouse funk.

TASTE: the taste follows the nose, initially sweet banana bread and then some farmhouse funk, I also perceive some clove spice, the hop bite on the finish balances out this beer nicely, there was orange citrus as well.

PALATE: lighter body and highly carbonated, it's smooth but the crackle of carbonation on the entry really works for me.

OVERALL: this is an excellent BBA, this is the best mouthfeel I have experienced in a beer, it looks nice and the taste was also very good, I would buy this again no problem and would recommend to anyone who enjoys the style."
1473,BeerAndGasMasks,"Duvel 6,66%",4,"From the bottle, it pours a hazy golden color with a nice white head that slowly reduces and does leave some lacing. The nose gets grassy hops and Belgian yeast. The taste follows and the brew has a nice feel overall - medium bodied and smooth."
1474,MrOH,"Duvel 6,66%",2.74,"Cloudy gold, big white head, good retention, rings of lace
Banana, hay, silage, slight spice aroma. The silage is throwing me off
Soft pilsner malt, green banana, clove, silage. 
Light bodied and well carbonated
Maybe it's an off bottle, but the silage note is really disagreeable to me."
1475,Cm55,"Duvel 6,66%",4.16,"Bottle into goblet glass
L-clear yellow and generous 2F head that persists with substantial evidence of carbonation 
S-grasses predominate the nose of the hops. Happily, no fruitiness
T-hop forward with a pleasant bitterness. Enough aromatics to faintly suggest a Belgian but not overwhelm the hops
F-light bodied. Not as crisp as it looks or as the standouts in the category are 
O-a strong and enjoyable entrant but ultimately lacks any outstanding element"
1476,Lanoke12,"Duvel 6,66%",4.06,"Look is light blonde. Smell is sweet Belgian ale yeast. Taste is smooth, rich and sweet. Feel is medium bodied. Overall, a great medium bodied Belgian blonde. Good example when you are looking for something lighter."
1477,AdmiralOzone,"Duvel 6,66%",4.08,"Pours a cloudy yellow. Lots of small floating particles. Effervescent bubbles continue to feed the collapsing white head that leaves marginal spotty lacing. Aroma is mild, yeast, biscuit, citrus and earthy hops. Flavor follows the nose; in addition, I'm picking up a touch of clove and banana. Feel is light and well carbonated. Overall, a fine Belgian ale."
1478,brewerburgundy,"Duvel 6,66%",3.99,"11.2 oz bottle, Duvel tulip, best before December 2023. Oops. 

Cloudy gold with head up to the brim. 

Yeast, dry, honey, melon, herbal. 

More herbal than fruity. Light, but with a moderate and lingering bitterness melding with the yeasty finish. 

Light with a matte finish. Carbonation is low. 

It is pretty much like a light Duvel."
1479,mvanaskie13,"Duvel 6,66%",4.24,"Poured into a chalice: color is straw gold, slight chill haze, big off white/very light tan head presents two fingers thick, head remains solid with lacing on the glass sides. 

Smell is malt, citric, lemon zest, esters, yeast, aged hops. 

Taste is barley malt, bread, biscuit, citrus, lemon zest, esters, yeast, spice, souring fruit, herbal hops. 

Mouthfeel is moderate carbonation, moderate sweetness, light bitterness, drying. 

Overall a great Belgian blonde with a citric aroma/flavor and light dry spice/yeast note."
1480,Thankin_Hank,"Duvel 6,66%",4.36,"666 pours a golden hazy yellow color with a small head. Best By Date?:02/2024 The aroma is nice, fruity, sweet, acidic, citrus and fizzy. Pineapple, peach, sweet cherry, fizzy sourness is quite the complex Belgian Blond Ale. The mouthfeel is complex as well with the fizzy sour. Overall very impressive."
1481,ZebulonXZogg,"Duvel 6,66%",3.13,"Cloudy pissy looking pale yellow pour, huge frothy head, surprisingly spotty lacing. It smelled like a Belgian beer, tasted like one to. It's nothing I'd buy."
1482,MetalHead7734,Leffe Blonde,4.17,"Purchased from Costco in the ""Centeries of Brewing Tradition Heritage Collection"" variety pack. Poured into a belgian glass.

Look: Light orange. Thick white head. Very active bubbles.

Smell: Yeasty. Sweet malt. Citrus.

Taste: Mellow and yeasty. Rich and a little hearty. Malt on the finish

Feel: Getting into crisp territory. The carbonation provides a wonderful punch. There's a nice, hearty, semi-medium body here.

Overall: This is my first alcoholic beverage back from a dry week and it is a wonderful return. The flavor profile of this beer is right up my alley. It's rare that I really enjoy a beer this much. It was immediately delicious upon the first sip, but I must admit that I'm on an empty stomach and the 6.6% abv is doing a number on me. My closing thoughts are that I think this beer is especially well balanced, very tasty, and a bit potent."
1483,stortore,Leffe Blonde,3.8,"330 ml bottle into a tulip glass. Best by 9/2/25, had 1/4/24.

Pours a bright, clear golden color, with a two inch plus foamy head on an average pour and a decent amount of foamy lacing. Active carbonation. Aromas of clove, malt, other spices, some yeast, light vanilla. Smells herbal. Flavors of yeast, malt, coriander, clove, other spices, light vanilla, a light herbal bitterness. Smooth, a good lighter body, well carbonated a little on the high side.

As the label says, notes of clove and vanilla do show, especially the clove. Good, well made, enjoyable."
1484,ElijahLep,Leffe Blonde,2.42,"This beer for me smell and taste wise does not do it. Has a nice look and mouth feel. You can tell it is a good quality beer, especially with the lacing. However, it is not for me. It is similar in flavor to Hoegaarden, which I am also not a fan of. This beer may work for others but not for me."
1485,ChiefMiz,Leffe Blonde,3.9,"I often get a metallic “twang” when I drink Heineken or Stella, and I get the same with Leffe. Leffe, however, quickly rolls into the vanilla and clove notes that they advertise on the bottle. Belgian whites and blonds are some of my favorites, and this is up my alley. It’s not a favorite, but pretty good. There’s also a bit of a candied aftertaste."
1486,Alconnaisseur,Leffe Blonde,4.46,"This is first thing that comes to my mind when I think about belgium beers. Beer that I comeback to frequently. 

Smell: As it should - a little bit banana.
Flavour: Banana/malt.
Look: This coulour is simply amazing."
1487,Fenix2009,Leffe Blonde,3.81,"I think Leffe Blonde deserves better reviews than it gets. Locally, in bottle, it is a go to Blonde. Nothing bad, hitting all the notes, but perceived as ordinary. However, I am giving this beer a bump up because last year I had a draught pint in an English pub outside London. It followed a pint of English ale, so maybe the comparison favored Leffe, but that Leffe Blonde was remarkable. Smooth and rich, the only time I ever had it on tap, but that pint helped make my visit to Hitchin memorable."
1488,Hephaistos,Leffe Blonde,3.65,"The kind of bench-mark Belgian Blonde. Abbey beer (the trapist style.) Produced with barley, malt of barley, mais (corn), yeast and added sugar, I think they changed the recipe a bit during the years.
It used to be a bit more lighter and creamy.
Can of 330ml, chiled at around 7 degrees celcius, poured in a leffe chalice,
Highly carbonated, small bulbs, 2 finger white head, pretty amber colour.
Smell, sweet, bit biscuity, with a little spicy scent, myrrh maybe.
Taste, more bready, full, balanced, hints of honey and stronger precense of some spice.

Pretty well made beer, highly available here, but no my favorite blonde."
1489,toby_wuz_ere,Leffe Blonde,3.32,"Leffe is an interesting beast - have it bottled with your friends and it can be a very quick way to render yourself inebriated (and strapped for cash). However, ask for it on draught from your local - let's be honest - Wetherspoons, it can quickly overwhelm your ongoing buzz. The spirit of Anheuser-Busch begins to rear its ugly head such that your pint of Leffe suddenly begins to roil your stomach. My local only serves Leffe in half-pints and I had to throw back my second half before closing time. It was a challenge. Overall, truly one to savour. You must be in the mood for Leffe. It can all too easily become an expensive mistake. 

PS. Lef? Lef-ay? Lef-uh? Lef-ie? I've heard them all. Apparently it's ""Lef"" but I still say ""Lef-ay"""
1490,zac16125,Bourbon County Brand Stout Reserve (2023) - Eagle Rare 2-Year,4.35,"A: Pours opaque midnight black with a small very dark mocha colored head that dissipates quickly. 4.25

S: It starts with nutty, oaky, rich bourbon aromas. There are prominent dark fruit notes and some leather. Not nearly the roast forward nature of most BCBSs and in general the base beer characters take a back seat to the barrel. 4.25

T: Taste is rich and complex. Roasty and herbaceous up front, huge dark
chocolate on the back end and lingering in the finish. Theres a big nutty character, peanuts specifically which I almost never get in BCBS or its variants. There is somewhat of a vibrant fruit character that is difficult to place but adds some welcomed balance. Unlike the nose there are tons of roasty characters. Of course, the barrel is prominent contributing to many of those above noted characters. Lastly, there’s a bit of fusel booziness but that’s not necessarily a bad thing. 4.5

M/D: Full bodied with lower but acceptable carbonation, ABV is well masked, drinkability is just ok. 4.25

O: Overall this is a tasty beer but doesn’t live up to the pedigree of the BCBS Reserve series. I have one more which I will let rest until it’s around 2 years old (the typical peak BCBS drinking age, IMO) and then revisit. But as is, it’s no higher than middle tier BCBS variant and probably the least impressive Reserve to date. In terms of this years variants, this really feel short compared to this years cask finish variant. 
4.25"
1491,Luscious_Malfoy,Bourbon County Brand Stout Reserve (2023) - Eagle Rare 2-Year,4.59,"poured from a 500mL bottle into a SP BBT23 snifter. pours thick and dark brown but settles in the glass a shiny black with dark brown see-through edges and less than a finger of dark brown foam head. heavy barrel char, bourbon, earthy tobacco and chocolate on the nose. amazingly complex and aromatic. as it warms it’s a lot of bourbon. taste follows. more chocolate-forward with char and earthy tobacco and even a little bit of dark fruit. thick, full mouthfeel. a really exceptional BCBS variant. they did this one right. truly get the extended barrel-aging and while i think this will age well it was drinking plenty fine tonight."
1492,stortore,Bourbon County Brand Stout Reserve (2023) - Eagle Rare 2-Year,4.45,"500 ml bottle into a snifter. Best by 9/3/28, had 12/30/23.

Pours a mostly opaque dark brown, with a brief head and sparse speckled cling. Aromas of bourbon, vanilla, oak, malt, some chocolate and fig, light tobacco and leather, light char. Flavors of bourbon, vanilla, malt, oak, some tobacco, some chocolate and fig, light caramel, some leather when fully warmed. Smooth, a very good fuller body, appropriately carbonated. 

This is best very fully warmed. The barrels are prominent and expressive- especially with the amount of vanilla they give up. The body is a little lighter than expected, but it’s solid. Very enjoyable."
1493,maximum12,Bourbon County Brand Stout Reserve (2023) - Eagle Rare 2-Year,4.57,"500ML bottle with a silvered blue label that comes in a big old cardboard silver cylinder. The whole thing oozes class. And upper echelon price. It doesn’t disappoint. 

Black. A virtually headless brew. The nose is a boozy bourbon bomb with malty depths that require a Vexilar to plum and gentle currents of vanilla. 

Bourbon County Brand Stout Reserve 2023 – Eagle Rare Two Year is a punchy beast. The thick base seems even thicker over these barrels, like a good push-up bra. The Eagle Rare is ripping – you can take one sip & tell this is quality bourbon poured over a quality stout. Lucky me. Very sweet, mild chocolate, leather, with a finish of quiet char & caramel. Trademark BCS mouthfeel (big) & booziness (big). Taking this bad boi down over a couple hours of watching canoe videos. Geekiness, may I count the ways. 

The amazing barrels make this stout & mark it apart from the routine BCS stock. In an era when the legions of BA stouts can be counted on to taste fairly uniform, this one proves once again that Goose Island still has the chops to make a top-tier stout. Fantastic."
1494,russpowell,Bourbon County Brand Stout Reserve (2023) - Eagle Rare 2-Year,4.52,"Pours an effervescent mahogany with a pinky of mocha colored head. Not a lot of head retention or lacing 

S: Dark fruits, pipe tobacco& boozy barrel, leafy hops at room temperature

T: Follows the nose, along with dark chocolate, woody hops, & a touch of barrel burn up front. Dark chocolate, vanilla, a touch of coconut, plus mellow Bourbon as this beer warms up, a little caramel as well, oaky dryness as well. Finishes with a little caramel, barrel warmth, & a touch of caramel mocha

MF: Chewy body, restrained carbonation, warming, body thins a touch as this beer warms up 

Super drinkability for the style, loving the flavor balance on this. Great beer, but not ponying up for this again this price"
1495,ThisWangsChung,Fort Point Pale Ale,4.07,"Pours a murky - if not quite turbid - golden color. There's a finger worth of white colored head; retention is decent. Though not groundbreaking in 2024, the nose hits all the right notes for a good hazy pale ale - grapefruit, tangerine, apricot, mango, papaya, and maybe the slightest wisp of blueberry. Malt presence is low. The flavor profile works about the same. It opens up with plenty of tropical fruit flavors (mango, papaya, dragon fruit maybe?), with a kiss of malt sweetness to finish it off. I have to say, it's not the boldest pale ale, not by any means. It is, however, beautifully balanced and refined; this alone helps it stand out from its more brutish peers. Where this offering absolutely shines, though, is the mouthfeel. The mineraly, slightly firm (but not angular) feel is not only deceptively delicate, but is also a perfect match to the subtle, nuanced flavor profile. It just smoothly evaporates off of the palate without any hint of harshness, inviting more sips. And even more sips. And then another can. And then, hell, why not, the whole four pack. It doesn't even need high carbonation to accomplish its drinkability factor, though it's definitely there. I see why this basically revolutionized the genre - it takes all the good parts of a hoppy beer while almost entirely removing the less desirable elements. About the worst I can say is that the aroma and taste don't really stand out among other great hazy brews in 2024, but I don't care. Like many of the beer world's greats, it's more than the sum of its parts. Highly recommended."
1496,RyanK252,Fort Point Pale Ale,4.41,"Can poured into a Mountain Rambler Brewery pint glass

A: Pours hazy golden amber with a frothy off white head that settles to a firm layer and laces nicely. 

S: Ripe tropical and stone fruit, lively citrus, a little pine, light floral notes, faintly grassy, biscuity malt, and caramel sweetness. 

T: Big tropical and stone fruit, nectarine, apricot, mango, pineapple, and passion fruit, citrus, tangerine, lemon lime, and a hint of grapefruit, a little spicy pine, light floral notes, a touch grassy, subtle earthy tones, biscuity malt, and caramel sweetness. 

M: Medium body, a touch on the mild side of moderate carbonation, soft on the palate.

O: Been wanting to try this one since the first random shipment of Trillium hit my area a couple years ago. I somehow got to try the DDH Nelson variant first, but now thanks to SF Beer Week and all the cool stuff it brings in I got my wish. With a 2 week old can no less! 
This one has definitely earned its reputation. It's hard to go wrong when you start with Citra and here the addition of Columbus provides just the right counter balance and depth. I guess it's time to start wishing for the DDH version to make an appearance. I'd love to see this one even more amped up."
1497,RaulMondesi,Fort Point Pale Ale,4.25,"This one is like one of those crazy chicks that takes some time to get used to. At first it’s like, “Hell nah.” Then when you realize that crazy can be good, it’s like, “Hoo rah!” And then you go for a ride almost as good as the first time you hit a slip and slide.

Nostalgia can beat all, my children."
1498,Griffin2,Fort Point Pale Ale,4.44,"Poured from a 16 ounce can dated 1/15/2024 into a shaker pint glass.
L - Pours a hazy yellow color with a fluffy white head that dissipates slowly leaving a nice layer of lacing on the glass.
S - Smells of tropical fruit.
T - Tastes of pineapple and citrus with some bitterness on the finish.
F - Soft feeling with a medium body and carbonation.
O - Very smooth Pale Ale. Outstanding."
1499,The_Kriek_Freak,Fort Point Pale Ale,4.49,The aroma in this one is simply pure juice. Tropical and citrus notes at the same time. Nice bitterness which Is always a plus. Super smooth mouthfeel. A very nice pale ale that is easy to drink but also complex.
1500,JohnnyHopps,Fort Point Pale Ale,4.43,"Appearance - The beer was hazy yellow with an orange tint. 

Smell - Orange hops led the nose with popsicle stick dryness. 

Taste - The profile was dense. It had a light orange profile with modest bitterness. The sweetness disappeared by the finish, leaving a dry impression. 

Mouthfeel - With the carbonation and body, the beer was almost fluffy. 

Overall - High quality, but boring by today’s beer community standards."
1501,Franziskaner,Oberon Eclipse,3.78,"Dark copper in color with a light haziness. There’s a fingernail of brown on around the top and covering three quarters of the rim. There’s a heavy aroma of coriander, a bit of orange peel and some pale wheat. I’m tasting a hefty dose of coriander, some pale wheat, and a dash of orange at the back of the palate. The mouth is snappy and refreshing."
1502,Mugman8,Oberon Eclipse,4,"Pours out slightly, cloudy, dark orange body, with a thin white head and some lacing. Aroma is slightly sour oranges and bready malts. Taste is fruity and slightly sweet to start, with a bready middle and a crisp, smooth finish. Carbonation is moderate and ABV is 6.3%. The regular Oberon is one of my favorite summer beers and this is very nice addition to the excellent Bell's line-up. This is very drinkable brew."
1503,crazyspicychef,Oberon Eclipse,3.48,"Pours a brassy orange with a thin lasting white head.
Smells like hopped oranges.
Taste is similar, albeit on a highly disguised thin to medium body wheat malt base.
Overall, I'm not a huge fan.
There are way better wheat beers available for me to get this one again.
I know it's a citrus wheat, but all I really taste is hoppy oranges. Meh."
1504,ChainGangGuy,Oberon Eclipse,3.4,"Part of the Bell's Mix Pack - $19.99 at Bullock's Wine & Spirits in Marietta, Georgia.

Appearance: Pours a turbid, troubled, dingy orange-gold body with a medium-sized, whitish head.

Smell: A pulpy orange fruitiness set against a lightly sweet-smelling honeyed, blonde caramel element along with toasted wheat and coriander.

Taste: Sweetish start of blonde caramel/honey and toasted wheat with a little graininess. Sweetish orange with a faint bitter citrus hint. Earthy, floral coriander, a dull yeastiness, and a little showing of alcohol give a smidge of a drying sensation, but it still finishes a bit sweet.

Mouthfeel: Medium-bodied. Medium carbonation.

Overall: I am always for one-offing a fine base beer, though, this is one of those times I'd recommend simply sticking to the original Oberon."
1505,Lanoke12,Oberon Eclipse,3.81,"Look is dark amber. Smell is of roasted slight sweet malts. Taste is of slight sweet malts and wheat. Feel is medium bodied. A good variant in the classic Oberon beer, although I liked Winter White Ale Witbier as a seasonal offering."
1506,Tsar_Riga,Oberon Eclipse,3.94,"A - Pours out clear, a dark orange body, with a short white head, some minor lacing.

S - A hit of sour grains, grass and a bit of biscuity malts.

T - Lovely open of honey and floral hops, a middle that introduces some soft minerality over the more fundamental bread notes, and a light acidity and soft bitterness that winds things up nicely.

M - Very brisk carbonation and moderate weight, with a clean dry finish that calls for another drink.

O - I like this version quite a bit more than the original. This is still a friendly, drinkable brew, but with more depth and better flavor."
1507,BloodSoakedAleMug,Oberon Eclipse,3.78,"Look: Burnt shade of orange with a one finger, soapy white head of dense foam. Laces the glass moderately. 

Aroma: Dried orange peel mostly. A touch of caramel and whole wheat bread.

Taste: Definitely more bitter and malty than the original. Upfront dried orange peel and earthy coriander that slowly transition into graham cracker like malty flavors; which linger on for a good while. Has a sort of wheaties cereal or wheat thins thing going on as well. There's a nice cantaloupe flavor lingering way in the background, but only after the beer opens up and gets to room temperature.

Feel: Silky and supple. Mid-heavy body with low-moderate carbonation. Straddles a fine line between being filling and hearty while still maintaining good thirst quenching drinkability.

Overall: Not sure if I prefer this to classic Oberon; but I do like this. The citrus notes are not as ""bright"" as they are in the OG Oberon, this has way more of a bitter dehydrated orange pith flavor with a much more pronounced caramel malt bill."
1508,teromous,Oberon Eclipse,2.56,"This is a review of a bottle. From the back label: ""BESTBY:09JUN24 PRN 4J160L 2151""

Appearance: The beer is a medium-dark shade of bronze with a bit of dark amber near the edges of the glass. It is very hazy but it is easy to see dark shadows through the glass. There are a ton of suspended solids. It has a short fluffy head which is slightly off-white. The head also has a bit of a creamy texture to it, and although it is short it has pretty good retention. It leaves a few sparse lines and blotches of lacing on the glass. The beer is darker than the typical wheat beer but not quite as dark as a Dunkelweizen.

Aroma: It has a light aroma of some yeast and alcohol. There is the slightest hint of apple. A very, very light hint of banana. It is oddly lacking in aroma for a wheat beer.

Taste: There is a bit of spice up front with a touch of clove and a bit of an herbal note like bay leaf. It has a light bit of twiggy character towards the middle with a bit of alcohol. Slightly bitter herb towards the back of the mouth which lingers on the palate with a bit of that alcohol flavor.

Mouthfeel: It has a body which sits just slightly below medium. Carbonation is a touch on the high end which is normal for the style. Bitterness is higher than expected. It drinks a bit odd because of the strange herbal bitterness.

Overall: It seems like it would take a lot of effort for a wheat beer to have an absence of flavor. This beer has a few flavors, which give it this odd mix of cooking herbs and alcohol, but it never tastes like wheat. It seems like an achievement for all the wrong reasons. The label on this states that it has ""notes of bright orange and cozy coriander."" It has neither of these. With the blue label and the image of a moon, it seems like the brewery was trying to go for a craft beer upgrade to Blue Moon. This is not only a downgrade to Blue Moon, but it's a downgrade to the standard Oberon beer that Bell's normally sells. It is very disappointing.

I don't recommend it and I would not buy it again."
1509,elNopalero,Oberon Eclipse,3.99,"Pours darker than I expected, sort of a malty caramel orange. Orange seems to be the theme here, since I get some orange peel on the nose. The sip is curious, sort of an orange bitters lemon lime soda character. Interesting, and distinctly different from the summer seasonal."
1510,Bouleboubier,Oberon Eclipse,3.86,"(12 oz bottle, best by 23MAR24; gifted cold single... poured into a 14 oz shaker pint)

L: foam fizzing away on pour, leaving no collar even by the end... amber liquid, maybe not as cloudy as one would expect, but I suppose it's on point with its namesake inspiration

S: spicing is weak, muddled; floral with enough coriander to identify itself... mostly fruit on the nose, with a vague background of lightly honeyed golden bread crust

T: spices more zippy (up front) on the palate, while a rich, doughy malt slathered in citrus (peel) oils swells midway... aftertaste still buzzing with spice, met with a lingering granola-like grain

F: mildly plush, silky, protein-plump up front, soon sliding away, leaving a relatively ripping spice and alcohol heat

O: didn't read much about this prior to trying it... a few sips in and 'oh!' that's what's different... a pretty run-of-the-mill American witbier, highlighted predominantly by its pungent spicing (2252; total didn't increase after this review)"
1511,NiceTaps,The Beast of Both Worlds,4.09,"12 ounce pour from a tap.

Dull haze neipa appearance with a bit of WCIPA slightly bright golden hue. White cap, 1F, ample sticky lacing.

It came out cold so the aroma needed a few minutes to arrive as a fresh and clean citrus mix. 

Lemon-orange citrus, stone fruit, blueberry, and more.

Quite smooth and medium bodied. Sweetness was neutralized a bit and the ECIPA wasn’t a juicer.

It was fresh and good. Few and far between, though, at 8% abv."
1512,haines710,The Beast of Both Worlds,4.09,"I hadn't picked a beer from this brewer in quite a while, but this new one intrigued me. How can you resist trying this mashup of West Coast IPA and New England IPA. Not sure it accomplishes what it was trying to do, but it is a decent beer - reasonably priced and fresh. The scent is huge citrus, but the taste is a little syrupy for me. I tasted apricot and mango. It is very sweet but crisp finish makes it feel like a West Coast IPA, I guess. Glad I picked up a six pack, but might not get it again."
1513,AdmiralOzone,The Beast of Both Worlds,4.14,"Pours clear honey gold with a thick white head. Generous lacing. Aroma is faint, citrus. Flavor is citrus forward, a bit sweet and just a hint of hop bitterness in the finish. Feel is medium bodied, adequately carbonated. Overall, another super beer from this fine brewery."
1514,milkshakebeersucks,The Beast of Both Worlds,4.15,"Mostly clear amber/gold, off white head, good lacing. Citrus focused aroma with an assist from a bit of orchard fruit. A little pine showing up in the taste but not enough to distract from the citrus. Fruity enough to take the edge off. Shows a balanced approach with the bitterness. Medium-to-full bodied, well carbonated mouthfeel."
1515,Mdog,The Beast of Both Worlds,4.35,"From a 12oz can:

Appearance: Gold, lots of particles, good head.

Smell: Old school sweetened grapefruit.

Taste: A mild hoppy start, mild sweetness, some citrus, maybe a little melon note. Bitterness stays pretty low. Medium bodied.

Overall: A pretty nice DIPA, not completely old school, especially in the bitterness department. Nice citrus and fruit flavors, easy drinking. Another solid DIPA from Lagunitas."
1516,LesDewitt4beer,The Beast of Both Worlds,4.12,"12 oz can pkg date 11/10/23 into a Becher glass.
L: SRM 4-5 Pours deep glowing golden caramel color with a 1/4"" rocky off-white head, VG head retention, lush & steady carbonation bubbles, medium-thick back-glass lacing, has light yeasty sediment in suspension.
S: Citrus, ripe fruits, caramelized malts, hard candy.
T: Citrus, orange marmalade, a hint of white pepper, background wheat, brown sugar, a light yeast note, cotton candy. It is lightly rich overall.
F: Quite brisk, lightly juicy medium-bodied feel with a smooth medium-length finish that is very gently drying.
O: A beautiful beer though & through. Signature Lagunitas brown sugar sweetness and enticing fruit flavors make it quite palpable and succulent. IMHO their best beer release since Heineken took over. It is outstanding."
1517,mfnmbvp,The Beast of Both Worlds,4.25,"12 oz. can, canned 11/22/23. This is already my third six pack of this stuff, So you can assume right away this is good shit.

Bisexual - I mean Bicoastal IPA ----

A: Excellent tawny burnt orange sienna. Fresh soapy white head. Lots of thin streaky lacing. Looks fresh & appealing.
S: Ah yes, smells fresh & creamy. Packed with juicy fruity hops & I don't mean in a garbage (hazy) type of way. 
T: Tons of peach, mango, papaya. Super juicy & nectary without being overly sugary or sweet; has good classical old-school IPA vibes.
F: Super juicy, crisp, smooth, clean. Super light-bodied and easy-drinking, especially for the higher 8.00% abv.

Overall, an excellent freshie from Lagunitas, and a welcome addition to their IPA family.

Lagunitas The Beast Of Both Worlds -----4.25/5"
1518,ovaltine,The Beast of Both Worlds,4.35,"Pours a golden color with just the slightest bit of hop haze underneath a fluffy white head that provides a sudsy cap on the beer as you enjoy it and a nice amount of lacing. The look is definitely in the WCDIPA vein.

The nose, though, is in the NEDIPA camp, with loads of juicy citrus notes, especially ripe oranges, pineapple, and grapefruit, plus a nice berry note. This is so juicy, I’m looking for haze. None to be found.

The taste also leans heavily towards a NEDIPA, with big juicy orange, pineapple, and grapefruit flavors most prominent and a nice bit of berry flavor as well - yet the mouthfeel clearly (IMHO) bounces back to the WCDIPA side of things, with a medium body that is crushingly dry and clean.

That Lagunitas managed to straddle the WCDIPA/NEDIPA line so well doesn’t surprise me, because they’re a world class brewery (again IMHO) that especially knows their way around hoppy beers."
1519,VABA,The Beast of Both Worlds,4.18,"Pours a clear amber color with a nice head and lacing
Aroma has tropical and citrus hints
Taste has tropical and citrus flavors
A medium bodied well carbonated beer
A good IIPA"
1520,StonedTrippin,The Beast of Both Worlds,4,"high time for a new lagunitas ipa, feels like the innovation here has slowed to a crawl. this is really well done, predictably great from one of the kings of hops, great name too! pretty clear, lighter than copper toned but darker than golden with high shine from the tap, average white head, some lace as it drinks down, great carbonation activity the whole drink. a little more of a modern hop complexion than i am used to from them, especially in a double, the bitterness seems restrained, the fruitiness high, and its not as mosaic dependent as a lot of their beers are, although i do get some familiar cattiness as this warms up. i get coconut too, mango and peach, and nice minerality underlying it all. freshness is nice, yeast impact is minimal, alcohol is exceedingly well covered up, and the grain provides little more than balance, a nice contemporary presentation here, and the flavors follow. definite stone fruit to the hops, some grassiness too and the bitterness seems more middle than late, its juicy on the back end to me, papaya, sweet orange, and a little residual sugar carrying the finish a little further. lemon curd and pine resin at the end, just lightly metallic but its not a problem, the grain staying pretty light the whole way. a nice addition to their lineup, should be successful with this one, but its no hop stoopid..."
1521,MeanMotaScootah,The Beast of Both Worlds,4,"A solid 4 on the floor rating for this baby. Purchased as a box of cans - great labeling as usual with the nitas. Aroma is tropical and sweet, pours a nice frothy head but does dissipate rather fast, low carb but good ""mouthfeel"". No alcohol heat, very smooth given the high abv. Overall flavor is fruity, sweet, almost juicy as IPA's go. I'd say it's more West than East cuz there's not much of the East coast malty backbone - at least from my perspective. Not a hop bomb but they do say that on the can so read the label my friends."
1522,drdiesel9483,Very DDDoublegangerrr,4.59,"Look - Bright tannish yellow and hazy with a nice white head
Smell and taste - tropcial mango stone fruit. That smell is lights out good and the taste is a step below
Feel - full body and great mouth coating
Overall - fantastic"
1523,Holderness,Very DDDoublegangerrr,4.03,"Canned a month ago.

L -- Thick, murky, deep orange haze with a finger of off-white head produced with gentle pour. Good retention and great lacing. Looks a bit milkier than most TH offerings
S -- Kumquat, red grapefruit, mango sorbet, yellow peach. Less pungent than anticipated
T -- Leans pretty citrus-forward in the flavors, with a small amount of generic tropical character
F -- Dense, almost teeth coating, but yet still soft. Pretty impressive for something this high gravity
O -- It is a hoppy onslaught, and definitely doesn't noticeably improve upon 'regular' Dddoublegangerrr, but I was pleasantly surprised to find this didn't have that weird, soulless, abrasive liquid hop character that some of Tree House's more recently super heavily hopped offerings have had

81/100"
